unique_id,full_name,first_name,last_name,political_group,gender,congress_page
YolandaDíazPérez,Yolanda  Díaz Pérez, Yolanda  ,Díaz Pérez,GCUP-EC-GC ,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=171&idLegislatura=14
LucAndreDioufDioh,Luc Andre  Diouf Dioh, Luc Andre  ,Diouf Dioh,GS ,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=221&idLegislatura=14
JoséCarlosDuránPeralta,José Carlos  Durán Peralta, José Carlos  ,Durán Peralta,GS ,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=342&idLegislatura=14
JoséIgnacioEchánizSalgado,José Ignacio  Echániz Salgado, José Ignacio  ,Echániz Salgado,GP ,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=89&idLegislatura=14
PabloEcheniqueRobba,Pablo  Echenique Robba, Pablo  ,Echenique Robba,GCUP-EC-GC ,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=13&idLegislatura=14
MaríaGloriaElizoSerrano,María Gloria  Elizo Serrano, María Gloria  ,Elizo Serrano,GCUP-EC-GC ,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=300&idLegislatura=14
OdónElorzaGonzález,Odón  Elorza González, Odón  ,Elorza González,GS ,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=324&idLegislatura=14
FrancescXavierEritjaCiuró,Francesc Xavier  Eritja Ciuró, Francesc Xavier  ,Eritja Ciuró,GR ,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=186&idLegislatura=14
ÍñigoErrejónGalván,Íñigo  Errejón Galván, Íñigo  ,Errejón Galván,GPlu ,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=233&idLegislatura=14
CarolinaEspañaReina,Carolina  España Reina, Carolina  ,España Reina,GP ,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=316&idLegislatura=14
JoséMaríaEspejo-SaavedraConesa,José María  Espejo-Saavedra Conesa, José María  ,Espejo-Saavedra Conesa,GCs ,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=257&idLegislatura=14
IvánEspinosadelosMonterosdeSimón,Iván  Espinosa De Los Monteros De Simón, Iván  ,Espinosa de los Monteros de Simón,GVOX ,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=83&idLegislatura=14
AitorEstebanBravo,Aitor  Esteban Bravo, Aitor  ,Esteban Bravo,GV  EAJ-PNV,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=94&idLegislatura=14
CristinaAliciaEstebanCalonje,Cristina Alicia  Esteban Calonje, Cristina Alicia  ,Esteban Calonje,GVOX ,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=297&idLegislatura=14
AntidioFagúndezCampo,Antidio  Fagúndez Campo, Antidio  ,Fagúndez Campo,GS ,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=4&idLegislatura=14
MaríaLuisaFanecaLópez,María Luisa  Faneca López, María Luisa  ,Faneca López,GS ,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=253&idLegislatura=14
AndreaFernándezBenéitez,Andrea  Fernández Benéitez, Andrea  ,Fernández Benéitez,GS ,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=102&idLegislatura=14
AnaBelénFernándezCasero,Ana Belén  Fernández Casero, Ana Belén  ,Fernández Casero,GS ,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=230&idLegislatura=14
SofíaFernándezCastañón,Sofía  Fernández Castañón, Sofía  ,Fernández Castañón,GCUP-EC-GC ,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=272&idLegislatura=14
Pedro  FernándezHernández,Pedro  Fernández Hernández, Pedro  ,Fernández Hernández,GVOX ,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=146&idLegislatura=14
TomásFernándezRíos,Tomás  Fernández Ríos, Tomás  ,Fernández Ríos,GVOX ,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=330&idLegislatura=14
RafaelFernández-LomanaGutiérrez,Rafael  Fernández-Lomana Gutiérrez, Rafael  ,Fernández-Lomana Gutiérrez,GVOX ,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=294&idLegislatura=14
CarlosHugoFernández-RocaSuárez,Carlos Hugo  Fernández-Roca Suárez, Carlos Hugo  ,Fernández-Roca Suárez,GVOX ,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=298&idLegislatura=14
SoniaFerrerTesoro,Sonia  Ferrer Tesoro, Sonia  ,Ferrer Tesoro,GS ,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=114&idLegislatura=14
JoséMaríaFigaredoÁlvarez-Sala,José María  Figaredo Álvarez-Sala, José María  ,Figaredo Álvarez-Sala,GVOX ,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=318&idLegislatura=14
IsabelFrancoCarmona,Isabel  Franco Carmona, Isabel  ,Franco Carmona,GCUP-EC-GC ,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=321&idLegislatura=14
JuanBernardoFuentesCurbelo,Juan Bernardo  Fuentes Curbelo, Juan Bernardo  ,Fuentes Curbelo,GS ,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=359&idLegislatura=14
DiegoGagoBugarín,Diego  Gago Bugarín, Diego  ,Gago Bugarín,GP ,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=121&idLegislatura=14
ConcepciónGamarraRuiz-Clavijo,Concepción  Gamarra Ruiz-Clavijo, Concepción  ,Gamarra Ruiz-Clavijo,GP ,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=261&idLegislatura=14
ÓscarGamazoMicó,Óscar  Gamazo Micó, Óscar  ,Gamazo Micó,GP ,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=212&idLegislatura=14
MarioGarcésSanagustín,Mario  Garcés Sanagustín, Mario  ,Garcés Sanagustín,GP ,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=219&idLegislatura=14
CarlosGarcíaAdanero,Carlos  García Adanero, Carlos  ,García Adanero,GMx ,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=127&idLegislatura=14
MaríaMontserratGarcíaChavarría,María Montserrat  García Chavarría, María Montserrat  ,García Chavarría,GS ,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=304&idLegislatura=14
JoaquínMaríaGarcíaDíez,Joaquín María  García Díez, Joaquín María  ,García Díez,GP ,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=11&idLegislatura=14
TeodoroGarcíaEgea,Teodoro  García Egea, Teodoro  ,García Egea,GP ,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=310&idLegislatura=14
ValentínGarcíaGómez,Valentín  García Gómez, Valentín  ,García Gómez,GS ,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=226&idLegislatura=14
MaribelGarcíaLópez,Maribel  García López, Maribel  ,García López,GS ,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=39&idLegislatura=14
RobertoGarcíaMorís,Roberto  García Morís, Roberto  ,García Morís,GS ,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=231&idLegislatura=14
MaríadelMarGarcíaPuig,María Del Mar  García Puig, María del Mar  ,García Puig,GCUP-EC-GC ,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=265&idLegislatura=14
AliciaGarcíaRodríguez,Alicia  García Rodríguez, Alicia  ,García Rodríguez,GP ,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=50&idLegislatura=14
IsabelGarcíaTejerina,Isabel  García Tejerina, Isabel  ,García Tejerina,GP ,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=323&idLegislatura=14
MaríaJoséGarcía-PelayoJurado,María José  García-Pelayo Jurado, María José  ,García-Pelayo Jurado,GP ,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=17&idLegislatura=14
PilarGarridoGutiérrez,Pilar  Garrido Gutiérrez, Pilar  ,Garrido Gutiérrez,GCUP-EC-GC ,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=210&idLegislatura=14
IgnacioGarrigaVazdeConcicao,Ignacio  Garriga Vaz De Concicao, Ignacio  ,Garriga Vaz de Concicao,GVOX ,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=150&idLegislatura=14
AlbertoGarzónEspinosa,Alberto  Garzón Espinosa, Alberto  ,Garzón Espinosa,GCUP-EC-GC ,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=12&idLegislatura=14
PalomaGázquezCollado,Paloma  Gázquez Collado, Paloma  ,Gázquez Collado,GP ,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=279&idLegislatura=14
LuisGestosodeMiguel,Luis  Gestoso De Miguel, Luis  ,Gestoso de Miguel,GVOX ,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=131&idLegislatura=14
IgnacioGilLázaro,Ignacio  Gil Lázaro, Ignacio  ,Gil Lázaro,GVOX ,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=295&idLegislatura=14
SaraGiménezGiménez,Sara  Giménez Giménez, Sara  ,Giménez Giménez,GCs ,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=169&idLegislatura=14
HéctorGómezHernández,Héctor  Gómez Hernández, Héctor  ,Gómez Hernández,GS ,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=104&idLegislatura=14
AntonioGómez-ReinoVarela,Antonio  Gómez-Reino Varela, Antonio  ,Gómez-Reino Varela,GCUP-EC-GC ,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=176&idLegislatura=14
MiguelÁngelGonzálezCaballero,Miguel Ángel  González Caballero, Miguel Ángel  ,González Caballero,GS ,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=222&idLegislatura=14
VíctorGonzálezCoellodePortugal,Víctor  González Coello De Portugal, Víctor  ,González Coello de Portugal,GVOX ,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=76&idLegislatura=14
MaríadelCarmenGonzálezGuinda,María Del Carmen  González Guinda, María del Carmen  ,González Guinda,GP ,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=288&idLegislatura=14
AriagonaGonzálezPérez,Ariagona  González Pérez, Ariagona  ,González Pérez,GS ,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=164&idLegislatura=14
ManuelGabrielGonzálezRamos,Manuel Gabriel  González Ramos, Manuel Gabriel  ,González Ramos,GS ,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=147&idLegislatura=14
AntonioGonzálezTerol,Antonio  González Terol, Antonio  ,González Terol,GP ,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=166&idLegislatura=14
MartaGonzálezVázquez,Marta  González Vázquez, Marta  ,González Vázquez,GP ,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=237&idLegislatura=14
JosuneGorospeElezcano,Josune  Gorospe Elezcano, Josune  ,Gorospe Elezcano,GV  EAJ-PNV,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=96&idLegislatura=14
InésGranollersCunillera,Inés  Granollers Cunillera, Inés  ,Granollers Cunillera,GR ,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=183&idLegislatura=14
SandraGuaitaEsteruelas,Sandra  Guaita Esteruelas, Sandra  ,Guaita Esteruelas,GS ,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=208&idLegislatura=14
SoniaGuerraLópez,Sonia  Guerra López, Sonia  ,Guerra López,GS ,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=357&idLegislatura=14
MaríaGuijarroCeballos,María  Guijarro Ceballos, María  ,Guijarro Ceballos,GS ,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=136&idLegislatura=14
TxemaGuijarroGarcía,Txema  Guijarro García, Txema  ,Guijarro García,GCUP-EC-GC ,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=344&idLegislatura=14
LídiaGuinartMoreno,Lídia  Guinart Moreno, Lídia  ,Guinart Moreno,GS ,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=202&idLegislatura=14
TomásGuitarteGimeno,Tomás  Guitarte Gimeno, Tomás  ,Guitarte Gimeno,GMx ,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=306&idLegislatura=14
FernandoAdolfoGutiérrezDíazdeOtazu,Fernando Adolfo  Gutiérrez Díaz De Otazu, Fernando Adolfo  ,Gutiérrez Díaz de Otazu,GP ,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=149&idLegislatura=14
SergioGutiérrezPrieto,Sergio  Gutiérrez Prieto, Sergio  ,Gutiérrez Prieto,GS ,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=180&idLegislatura=14
IndalecioGutiérrezSalinas,Indalecio  Gutiérrez Salinas, Indalecio  ,Gutiérrez Salinas,GS ,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=358&idLegislatura=14
SofíaHernanzCosta,Sofía  Hernanz Costa, Sofía  ,Hernanz Costa,GS ,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=289&idLegislatura=14
JoséAlbertoHerreroBono,José Alberto  Herrero Bono, José Alberto  ,Herrero Bono,GP ,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=239&idLegislatura=14
PabloHispánIglesiasdeUssel,Pablo  Hispán Iglesias De Ussel, Pablo  ,Hispán Iglesias de Ussel,GP ,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=309&idLegislatura=14
PedroAntonioHonrubiaHurtado,Pedro Antonio  Honrubia Hurtado, Pedro Antonio  ,Honrubia Hurtado,GCUP-EC-GC ,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=68&idLegislatura=14
BelénHoyoJuliá,Belén  Hoyo Juliá, Belén  ,Hoyo Juliá,GP ,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=141&idLegislatura=14
AntonioHurtadoZurera,Antonio  Hurtado Zurera, Antonio  ,Hurtado Zurera,GS ,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=372&idLegislatura=14
PabloIglesiasTurrión,Pablo  Iglesias Turrión, Pablo  ,Iglesias Turrión,GCUP-EC-GC ,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=319&idLegislatura=14
MarionaIllamolaDausà,Mariona  Illamola Dausà, Mariona  ,Illamola Dausà,GPlu ,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=22&idLegislatura=14
JonIñarrituGarcía,Jon  Iñarritu García, Jon  ,Iñarritu García,GEH Bildu ,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=62&idLegislatura=14
MiguelÁngelJerezJuan,Miguel Ángel  Jerez Juan, Miguel Ángel  ,Jerez Juan,GP ,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=124&idLegislatura=14
BeatrizJiménezLinuesa,Beatriz  Jiménez Linuesa, Beatriz  ,Jiménez Linuesa,GP ,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=206&idLegislatura=14
RodrigoJiménezRevuelta,Rodrigo  Jiménez Revuelta, Rodrigo  ,Jiménez Revuelta,GVOX ,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=165&idLegislatura=14
MaríaTeresaJiménez-BecerrilBarrio,María Teresa  Jiménez-Becerril Barrio, María Teresa  ,Jiménez-Becerril Barrio,GP ,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=179&idLegislatura=14
RafaelJoséVélez,Rafael  José Vélez, Rafael  ,José Vélez,GS ,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=361&idLegislatura=14
AntoniaJoverDíaz,Antonia  Jover Díaz, Antonia  ,Jover Díaz,GCUP-EC-GC ,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=334&idLegislatura=14
MarcLamuàEstañol,Marc  Lamuà Estañol, Marc  ,Lamuà Estañol,GS ,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=200&idLegislatura=14
AdrianaLastraFernández,Adriana  Lastra Fernández, Adriana  ,Lastra Fernández,GS ,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=109&idLegislatura=14
